dteday,Recency,Frequency,Monetary
2011-01-01,24,7944,23640
2011-01-02,23,3013,18423
2011-01-03,22,2640,29678
2011-01-04,23,2484,35926
2011-01-05,23,1886,36800
2011-01-06,23,2024,36938
2011-01-07,23,3404,34730
2011-01-08,24,1632,23016
2011-01-09,24,1296,19728
2011-01-10,24,984,31704
2011-01-11,22,946,27786
2011-01-12,22,550,25564
2011-01-13,24,912,33744
2011-01-14,23,1242,32683
2011-01-15,24,5328,29952
2011-01-16,24,6024,28896
2011-01-17,24,2808,24000
2011-01-18,12,108,8196
2011-01-19,23,1794,37950
2011-01-20,24,1992,46248
2011-01-21,24,1800,37032
2011-01-22,23,2139,22563
2011-01-23,23,3450,22678
2011-01-24,23,1978,32568
2011-01-25,23,4278,45655
2011-01-26,16,544,8096
2011-01-27,8,120,3448
2011-01-28,23,874,26841
2011-01-29,23,2829,25254
2011-01-30,23,3220,25208
2011-01-31,24,1008,36024
2011-02-01,23,1081,31280
2011-02-02,24,1728,36624
2011-02-03,23,1403,35650
2011-02-04,23,2024,39284
2011-02-05,24,2400,24120
2011-02-06,24,8496,38952
2011-02-07,24,2880,41088
2011-02-08,24,1536,36720
2011-02-09,23,1219,36915
2011-02-10,23,1081,35374
2011-02-11,22,3278,38412
2011-02-12,24,6912,35328
2011-02-13,23,9131,36547
2011-02-14,24,4992,45912
2011-02-15,23,3220,41745
2011-02-16,23,5014,48645
2011-02-17,24,6216,59400
2011-02-18,24,13896,70248
2011-02-19,24,12768,39240
2011-02-20,23,14697,41676
2011-02-21,24,4680,26568
2011-02-22,18,1332,26100
2011-02-23,23,3197,44091
2011-02-24,23,2300,41561
2011-02-25,23,2760,33603
2011-02-26,24,10176,47256
2011-02-27,23,15962,55246
2011-02-28,22,1782,31812
2011-03-01,24,3288,44424
2011-03-02,24,5544,51216
2011-03-03,24,2952,40440
2011-03-04,24,5136,46656
2011-03-05,24,15360,49848
2011-03-06,23,2622,13915
2011-03-07,23,5612,43056
2011-03-08,24,7584,51192
2011-03-09,24,4584,45384
2011-03-10,22,1012,13706
2011-03-11,23,5681,45471
2011-03-12,24,17376,51168
2011-03-13,23,22586,55591
2011-03-14,23,8257,47058
2011-03-15,23,6647,47288
2011-03-16,23,7383,50416
2011-03-17,24,10176,65856
2011-03-18,23,20332,74497
2011-03-19,24,34176,74808
2011-03-20,24,25128,59304
2011-03-21,23,9223,47771
2011-03-22,24,11040,64872
2011-03-23,23,4669,48783
2011-03-24,24,3984,44760
2011-03-25,24,7200,53040
2011-03-26,24,23544,59904
2011-03-27,23,10856,38939
2011-03-28,23,5106,46644
2011-03-29,24,7608,58200
2011-03-30,24,4032,36864
2011-03-31,24,4296,40440
2011-04-01,24,7368,53448
2011-04-02,24,21552,54048
2011-04-03,24,39624,77976
2011-04-04,24,17616,74760
2011-04-05,24,4008,43080
2011-04-06,24,9912,67392
2011-04-07,24,13704,75384
2011-04-08,24,4128,35304
2011-04-09,24,21096,58920
2011-04-10,24,28512,69480
2011-04-11,23,19665,77004
2011-04-12,24,6168,48816
2011-04-13,24,5016,51888
2011-04-14,24,12696,78408
2011-04-15,24,15408,75024
2011-04-16,24,2904,19080
2011-04-17,24,37392,89856
2011-04-18,24,16056,82296
2011-04-19,24,9816,76896
2011-04-20,24,14712,94656
2011-04-21,24,17880,100536
2011-04-22,24,4248,40392
2011-04-23,24,35088,96864
2011-04-24,24,41040,100584
2011-04-25,24,18552,97752
2011-04-26,24,16272,105600
2011-04-27,24,13128,92928
2011-04-28,24,13656,97392
2011-04-29,24,21072,110280
2011-04-30,24,47160,127488
2011-05-01,24,27312,80424
2011-05-02,24,20328,105624
2011-05-03,24,14472,106824
2011-05-04,24,6120,63192
2011-05-05,24,14736,106392
2011-05-06,24,21456,110592
2011-05-07,24,38688,113136
2011-05-08,24,33624,103992
2011-05-09,24,15936,104688
2011-05-10,24,16656,115272
2011-05-11,24,13200,100368
2011-05-12,24,16680,116736
2011-05-13,24,16608,98520
2011-05-14,24,21648,81816
2011-05-15,24,37968,109272
2011-05-16,24,18552,94992
2011-05-17,24,16272,98952
2011-05-18,24,12864,92520
2011-05-19,24,17640,109800
2011-05-20,24,21816,118008
2011-05-21,24,54192,139320
2011-05-22,24,37824,111840
2011-05-23,24,20064,102576
2011-05-24,24,15816,107808
2011-05-25,24,17760,119472
2011-05-26,24,18192,112248
2011-05-27,24,20904,112296
2011-05-28,24,48024,114192
2011-05-29,24,56520,114912
2011-05-30,24,37176,98352
2011-05-31,24,16152,95568
2011-06-01,24,12312,95376
2011-06-02,24,17664,119232
2011-06-03,24,21552,127488
2011-06-04,24,44856,128208
2011-06-05,24,40440,117744
2011-06-06,24,16152,109152
2011-06-07,24,18312,115992
2011-06-08,24,16224,105624
2011-06-09,24,13512,93960
2011-06-10,24,19560,110064
2011-06-11,24,41496,119184
2011-06-12,24,35208,107040
2011-06-13,24,20712,120480
2011-06-14,24,17448,117384
2011-06-15,24,18456,124320
2011-06-16,24,13080,90408
2011-06-17,24,20712,116256
2011-06-18,24,43368,122856
2011-06-19,24,39336,113856
2011-06-20,24,16776,96240
2011-06-21,24,18576,116040
2011-06-22,24,15864,108168
2011-06-23,24,17904,114960
2011-06-24,24,23256,119784
2011-06-25,24,42768,124848
2011-06-26,24,46080,127320
2011-06-27,24,20496,112992
2011-06-28,24,17568,111552
2011-06-29,24,20352,125400
2011-06-30,24,24648,132360
2011-07-01,24,29904,128688
2011-07-02,24,52896,122856
2011-07-03,24,54768,111576
2011-07-04,24,73560,145032
2011-07-05,24,24744,111960
2011-07-06,24,18816,111096
2011-07-07,24,18096,110208
2011-07-08,24,16608,96960
2011-07-09,24,47712,128064
2011-07-10,24,41832,117144
2011-07-11,24,17352,98064
2011-07-12,24,15888,102192
2011-07-13,24,17952,104208
2011-07-14,24,21312,122016
2011-07-15,24,31632,132912
2011-07-16,24,58032,142152
2011-07-17,24,48144,127248
2011-07-18,24,20184,106992
2011-07-19,24,18048,108984
2011-07-20,24,15456,103968
2011-07-21,24,15168,90816
2011-07-22,24,13488,81288
2011-07-23,24,23688,78840
2011-07-24,24,25200,86544
2011-07-25,24,13632,92160
2011-07-26,24,18000,110160
2011-07-27,24,18120,111744
2011-07-28,24,14544,105360
2011-07-29,24,16080,92304
2011-07-30,24,37416,107400
2011-07-31,24,36576,103248
2011-08-01,24,17496,102384
2011-08-02,24,19224,116280
2011-08-03,24,11208,85776
2011-08-04,24,19176,109824
2011-08-05,24,24552,116784
2011-08-06,24,36504,103056
2011-08-07,24,31152,90840
2011-08-08,24,20304,103824
2011-08-09,24,21768,110448
2011-08-10,24,21216,114720
2011-08-11,24,19488,115008
2011-08-12,24,25224,117720
2011-08-13,24,36096,99600
2011-08-14,24,32112,91680
2011-08-15,24,18600,104112
2011-08-16,24,17304,113400
2011-08-17,24,16032,112656
2011-08-18,24,15336,91320
2011-08-19,24,19128,99672
2011-08-20,24,45936,124584
2011-08-21,24,29976,92952
2011-08-22,24,19992,114192
2011-08-23,24,30744,141480
2011-08-24,24,22776,123120
2011-08-25,24,10440,85008
2011-08-26,24,18432,111864
2011-08-27,18,4068,20070
2011-08-28,17,24055,73678
2011-08-29,24,17496,111216
2011-08-30,24,18600,124896
2011-08-31,24,16512,121392
2011-09-01,24,18792,122760
2011-09-02,24,21000,113448
2011-09-03,24,46440,107616
2011-09-04,24,60504,118560
2011-09-05,24,29664,80424
2011-09-06,23,4692,62330
2011-09-07,24,2832,47904
2011-09-08,23,3519,42366
2011-09-09,24,10008,85056
2011-09-10,24,42000,128280
2011-09-11,24,39192,121104
2011-09-12,23,15870,108399
2011-09-13,24,16824,114312
2011-09-14,24,15528,114840
2011-09-15,24,10272,87816
2011-09-16,24,17808,114240
2011-09-17,24,34416,108264
2011-09-18,24,32472,102576
2011-09-19,24,16584,108936
2011-09-20,24,10512,87384
2011-09-21,24,12936,104448
2011-09-22,24,13320,115080
2011-09-23,24,6192,57480
2011-09-24,24,42624,130152
2011-09-25,24,37056,120240
2011-09-26,24,16416,111120
2011-09-27,24,11448,98880
2011-09-28,24,11520,93768
2011-09-29,24,15672,116136
2011-09-30,24,19920,124848
2011-10-01,24,11520,58296
2011-10-02,24,14784,70032
2011-10-03,24,7920,85680
2011-10-04,24,11664,106944
2011-10-05,24,13416,115824
2011-10-06,24,15336,114360
2011-10-07,24,22776,119640
2011-10-08,24,53640,129816
2011-10-09,24,57528,132264
2011-10-10,24,36336,122808
2011-10-11,24,16008,109512
2011-10-12,24,5208,57984
2011-10-13,24,6960,69912
2011-10-14,24,12696,87456
2011-10-15,24,45576,125208
2011-10-16,24,41952,120984
2011-10-17,24,17112,109680
2011-10-18,24,15288,113952
2011-10-19,23,5842,55752
2011-10-20,24,11304,100680
2011-10-21,24,16224,103296
2011-10-22,24,35976,103392
2011-10-23,24,38856,105144
2011-10-24,24,16776,100488
2011-10-25,24,16680,112488
2011-10-26,24,9696,93456
2011-10-27,24,5760,63816
2011-10-28,24,10944,89928
2011-10-29,24,1368,15048
2011-10-30,24,21240,79944
2011-10-31,24,8688,88056
2011-11-01,24,9840,97632
2011-11-02,24,8880,100464
2011-11-03,24,7632,95376
2011-11-04,24,11280,97104
2011-11-05,24,27744,94224
2011-11-06,24,22848,87576
2011-11-07,24,8952,96840
2011-11-08,24,9024,100920
2011-11-09,24,7320,98616
2011-11-10,24,4560,70392
2011-11-11,24,10560,80832
2011-11-12,24,30600,97608
2011-11-13,24,24096,89208
2011-11-14,24,14280,107664
2011-11-15,24,10776,100680
2011-11-16,24,3480,43608
2011-11-17,24,3336,73272
2011-11-18,24,5880,81408
2011-11-19,24,22632,87912
2011-11-20,24,18888,84480
2011-11-21,24,5280,66360
2011-11-22,24,1656,38568
2011-11-23,24,2688,61584
2011-11-24,24,13440,35880
2011-11-25,24,26280,67008
2011-11-26,24,29976,73632
2011-11-27,24,19440,73704
2011-11-28,23,5819,88941
2011-11-29,24,2304,69936
2011-11-30,24,4512,86712
2011-12-01,24,4368,89448
2011-12-02,24,6432,94560
2011-12-03,24,16944,86736
2011-12-04,24,15216,83640
2011-12-05,24,5592,91464
2011-12-06,24,3024,62256
2011-12-07,24,1200,16920
2011-12-08,24,3600,79728
2011-12-09,24,6264,86880
2011-12-10,24,12048,76560
2011-12-11,24,9048,65832
2011-12-12,24,3432,79440
2011-12-13,24,3720,84552
2011-12-14,24,4272,89760
2011-12-15,24,4344,89016
2011-12-16,24,4272,85848
2011-12-17,24,6600,65736
2011-12-18,24,5280,58344
2011-12-19,24,6240,81672
2011-12-20,24,5184,90000
2011-12-21,24,2568,63840
2011-12-22,24,5448,73632
2011-12-23,24,3912,53016
2011-12-24,24,3720,24264
2011-12-25,23,6969,17342
2011-12-26,23,9890,30291
2011-12-27,24,2472,27888
2011-12-28,23,5865,52946
2011-12-29,24,6096,58152
2011-12-30,24,11784,71976
2011-12-31,24,15960,59640
2012-01-01,24,16464,55056
2012-01-02,23,5612,44873
2012-01-03,24,2136,53664
2012-01-04,24,2280,56832
2012-01-05,24,3360,78528
2012-01-06,24,7368,98352
2012-01-07,24,25680,108504
2012-01-08,24,14376,82200
2012-01-09,24,2544,57024
2012-01-10,23,3979,82754
2012-01-11,24,2208,52248
2012-01-12,24,6456,98328
2012-01-13,24,4176,77136
2012-01-14,24,7992,59832
2012-01-15,24,6816,55464
2012-01-16,24,5208,55152
2012-01-17,23,2921,67505
2012-01-18,24,2616,81024
2012-01-19,24,3120,79008
2012-01-20,24,2760,75912
2012-01-21,24,1608,31224
2012-01-22,24,4704,47448
2012-01-23,24,3480,58368
2012-01-24,24,10536,104136
2012-01-25,24,11208,102480
2012-01-26,24,5856,97800
2012-01-27,24,6456,82944
2012-01-28,24,18600,96552
2012-01-29,24,13392,77832
2012-01-30,24,3024,86976
2012-01-31,24,7776,108216
2012-02-01,24,7296,109896
2012-02-02,24,4560,90264
2012-02-03,24,7440,99624
2012-02-04,24,9216,67968
2012-02-05,24,7632,70728
2012-02-06,23,4738,87032
2012-02-07,24,4776,105000
2012-02-08,24,2616,67248
2012-02-09,24,3912,91920
2012-02-10,24,5448,91944
2012-02-11,24,4608,52056
2012-02-12,24,1752,36696
2012-02-13,24,2256,82128
2012-02-14,24,3240,94128
2012-02-15,24,3384,100056
2012-02-16,24,1776,72120
2012-02-17,24,8376,99696
2012-02-18,24,34440,103632
2012-02-19,24,14832,64536
2012-02-20,23,11546,71967
2012-02-21,23,3749,86871
2012-02-22,24,9456,114552
2012-02-23,24,12384,121488
2012-02-24,24,5904,83688
2012-02-25,24,7608,65568
2012-02-26,24,12360,81336
2012-02-27,24,6072,103728
2012-02-28,24,5496,104712
2012-02-29,23,1495,42182
2012-03-01,24,7800,119760
2012-03-02,24,5904,76656
2012-03-03,24,22944,97584
2012-03-04,24,17040,82152
2012-03-05,24,4872,79992
2012-03-06,24,5304,94944
2012-03-07,24,10368,117984
2012-03-08,24,11664,129168
2012-03-09,24,10728,109656
2012-03-10,24,23232,98832
2012-03-11,23,38134,112953
2012-03-12,24,20112,127152
2012-03-13,24,18288,140328
2012-03-14,24,23928,151488
2012-03-15,24,24120,148608
2012-03-16,24,13152,105072
2012-03-17,24,75720,188064
2012-03-18,24,52968,141408
2012-03-19,24,23568,147672
2012-03-20,24,25224,146232
2012-03-21,24,26928,149520
2012-03-22,24,32016,164904
2012-03-23,24,59256,200688
2012-03-24,24,24792,80928
2012-03-25,24,36768,119904
2012-03-26,24,19080,133392
2012-03-27,24,12744,122448
2012-03-28,24,16176,136752
2012-03-29,24,20016,147192
2012-03-30,24,19104,131016
2012-03-31,24,55224,149640
2012-04-01,24,56328,144984
2012-04-02,23,27784,136528
2012-04-03,24,32352,162528
2012-04-04,24,25392,154464
2012-04-05,24,28608,154968
2012-04-06,24,43368,155040
2012-04-07,24,78048,164568
2012-04-08,24,53520,124056
2012-04-09,24,21720,134040
2012-04-10,24,19656,142032
2012-04-11,23,11086,111826
2012-04-12,24,15912,129816
2012-04-13,24,30048,153552
2012-04-14,24,67080,179040
2012-04-15,24,68304,171168
2012-04-16,24,28752,152880
2012-04-17,24,23736,160584
2012-04-18,24,8328,104808
2012-04-19,24,20304,157560
2012-04-20,24,32160,174960
2012-04-21,24,60984,158976
2012-04-22,24,2880,24648
2012-04-23,24,4680,77136
2012-04-24,24,12432,135192
2012-04-25,24,15720,148704
2012-04-26,24,11400,120624
2012-04-27,24,24336,149592
2012-04-28,24,26880,101280
2012-04-29,24,53496,151296
2012-04-30,24,15960,133728
2012-05-01,24,15672,137760
2012-05-02,24,16008,148056
2012-05-03,24,18336,154104
2012-05-04,24,25656,151104
2012-05-05,24,59904,165192
2012-05-06,24,51240,152616
2012-05-07,24,24192,150552
2012-05-08,24,17712,137472
2012-05-09,24,14880,113208
2012-05-10,24,24624,157728
2012-05-11,24,31656,168720
2012-05-12,24,62928,178296
2012-05-13,24,52128,146832
2012-05-14,24,8208,68232
2012-05-15,24,15000,122760
2012-05-16,24,23784,178176
2012-05-17,24,29808,177216
2012-05-18,24,36504,183336
2012-05-19,24,81840,199056
2012-05-20,24,64896,171096
2012-05-21,24,15120,104616
2012-05-22,24,19656,145752
2012-05-23,24,18384,126240
2012-05-24,24,25416,162480
2012-05-25,24,34008,161616
2012-05-26,24,68520,156864
2012-05-27,24,78792,158184
2012-05-28,24,61368,145032
2012-05-29,24,21120,137832
2012-05-30,24,17880,164520
2012-05-31,24,26400,176112
2012-06-01,24,12792,99048
2012-06-02,24,67080,194880
2012-06-03,24,59856,183384
2012-06-04,24,25704,167952
2012-06-05,24,23232,168024
2012-06-06,24,24648,169320
2012-06-07,24,24912,179856
2012-06-08,24,35712,185664
2012-06-09,24,64992,179952
2012-06-10,24,53376,158352
2012-06-11,24,24408,159936
2012-06-12,24,11448,119328
2012-06-13,24,28152,178104
2012-06-14,24,28320,176712
2012-06-15,24,37512,183960
2012-06-16,24,71112,184848
2012-06-17,24,63216,167472
2012-06-18,24,15672,122376
2012-06-19,24,23232,163800
2012-06-20,24,20928,149064
2012-06-21,24,18672,141720
2012-06-22,24,23136,139752
2012-06-23,24,63768,178992
2012-06-24,24,61224,165384
2012-06-25,24,27336,162696
2012-06-26,24,25848,178608
2012-06-27,24,25848,176040
2012-06-28,24,22104,165096
2012-06-29,24,19896,131112
2012-06-30,24,34920,136488
2012-07-01,24,34104,132744
2012-07-02,24,21696,149448
2012-07-03,24,25248,159840
2012-07-04,24,61488,177672
2012-07-05,24,33720,149784
2012-07-06,24,32784,148968
2012-07-07,24,34752,116160
2012-07-08,24,28872,112128
2012-07-09,24,23952,157656
2012-07-10,24,22896,150960
2012-07-11,24,23400,174336
2012-07-12,24,24768,178704
2012-07-13,24,36264,179976
2012-07-14,24,56520,167256
2012-07-15,24,46080,144744
2012-07-16,24,26112,163920
2012-07-17,24,22104,162864
2012-07-18,24,19176,137112
2012-07-19,24,21312,158184
2012-07-20,24,17928,140880
2012-07-21,24,30336,107016
2012-07-22,24,61056,177840
2012-07-23,24,27240,167184
2012-07-24,24,27360,182208
2012-07-25,24,33192,196152
2012-07-26,24,24864,164664
2012-07-27,24,30216,165696
2012-07-28,24,53616,160440
2012-07-29,24,51672,158328
2012-07-30,24,24960,170520
2012-07-31,24,23232,173184
2012-08-01,24,25776,181920
2012-08-02,24,23592,174264
2012-08-03,24,31872,172200
2012-08-04,24,56280,163776
2012-08-05,24,40968,131136
2012-08-06,24,29592,168312
2012-08-07,24,30672,174552
2012-08-08,24,30312,180816
2012-08-09,24,28704,174864
2012-08-10,24,25560,138864
2012-08-11,24,53928,151176
2012-08-12,24,52368,157056
2012-08-13,24,28968,165192
2012-08-14,24,27072,162816
2012-08-15,24,28752,176328
2012-08-16,24,32112,182520
2012-08-17,24,35592,171552
2012-08-18,24,67848,188760
2012-08-19,24,28992,109176
2012-08-20,24,24624,156720
2012-08-21,24,25944,168144
2012-08-22,24,26256,177000
2012-08-23,24,32712,186360
2012-08-24,24,31800,181968
2012-08-25,24,43896,145272
2012-08-26,24,35592,126120
2012-08-27,24,23736,166008
2012-08-28,24,22440,168960
2012-08-29,24,28248,184728
2012-08-30,24,28128,185112
2012-08-31,24,34392,176400
2012-09-01,24,56448,147360
2012-09-02,24,62712,139440
2012-09-03,24,47160,144816
2012-09-04,24,20808,164736
2012-09-05,24,19968,170688
2012-09-06,24,14664,148872
2012-09-07,24,25080,180096
2012-09-08,24,37368,143424
2012-09-09,24,61680,197448
2012-09-10,24,26832,180600
2012-09-11,24,25680,186408
2012-09-12,24,25200,188880
2012-09-13,24,25296,187296
2012-09-14,24,33096,192216
2012-09-15,24,75840,209136
2012-09-16,24,51984,175992
2012-09-17,24,24528,164856
2012-09-18,24,8904,97752
2012-09-19,24,18912,182184
2012-09-20,24,22536,185280
2012-09-21,24,30000,196008
2012-09-22,24,60288,201480
2012-09-23,24,58896,189768
2012-09-24,24,24024,178464
2012-09-25,24,20280,180912
2012-09-26,24,18888,185592
2012-09-27,24,18024,177432
2012-09-28,24,25080,177960
2012-09-29,24,62136,205320
2012-09-30,24,48360,165336
2012-10-01,24,18312,162672
2012-10-02,24,7560,111336
2012-10-03,24,17472,181728
2012-10-04,24,21384,175872
2012-10-05,24,36384,195744
2012-10-06,24,72744,191160
2012-10-07,24,18744,84240
2012-10-08,24,20976,131472
2012-10-09,24,14424,153408
2012-10-10,24,18720,184584
2012-10-11,24,20016,181680
2012-10-12,24,25440,174768
2012-10-13,24,54048,170616
2012-10-14,24,49920,159336
2012-10-15,24,18240,141000
2012-10-16,24,22128,180816
2012-10-17,24,23496,179064
2012-10-18,24,24192,180216
2012-10-19,24,18072,130176
2012-10-20,24,67344,194160
2012-10-21,24,51168,163776
2012-10-22,24,19920,169392
2012-10-23,24,20184,179184
2012-10-24,24,19080,184632
2012-10-25,24,21000,176616
2012-10-26,24,28368,178656
2012-10-27,24,63432,188448
2012-10-28,24,23952,107016
2012-10-29,1,2,22
2012-10-30,11,957,12056
2012-10-31,24,10056,133584
2012-11-01,24,11184,143664
2012-11-02,24,14832,140328
2012-11-03,24,24696,123312
2012-11-04,24,28824,122568
2012-11-05,24,9072,126216
2012-11-06,24,11184,136464
2012-11-07,24,7824,120840
2012-11-08,23,7820,122245
2012-11-09,24,17016,143808
2012-11-10,24,50160,156864
2012-11-11,24,54960,164448
2012-11-12,24,26328,150456
2012-11-13,24,7848,98256
2012-11-14,24,8952,131880
2012-11-15,24,7680,130680
2012-11-16,24,11616,136752
2012-11-17,24,31512,135096
2012-11-18,24,22128,112056
2012-11-19,24,10776,131976
2012-11-20,24,12816,135216
2012-11-21,24,14760,123504
2012-11-22,24,22920,58200
2012-11-23,24,38472,93840
2012-11-24,24,12768,54648
2012-11-25,24,7416,58176
2012-11-26,24,8088,122088
2012-11-27,24,2952,95016
2012-11-28,24,4752,126240
2012-11-29,23,5589,122429
2012-11-30,24,8688,136032
2012-12-01,24,22824,124584
2012-12-02,24,21408,111576
2012-12-03,24,13320,149616
2012-12-04,24,13224,158544
2012-12-05,24,7944,137496
2012-12-06,24,8160,129000
2012-12-07,24,8376,120192
2012-12-08,24,27672,133968
2012-12-09,24,10584,77472
2012-12-10,24,7896,124080
2012-12-11,24,6768,132024
2012-12-12,24,7440,127656
2012-12-13,24,10200,132768
2012-12-14,24,10296,134664
2012-12-15,24,18408,121128
2012-12-16,24,12912,90864
2012-12-17,24,5088,110040
2012-12-18,24,10392,133368
2012-12-19,24,7992,126408
2012-12-20,24,7536,99072
2012-12-21,24,5304,86952
2012-12-22,24,4920,41976
2012-12-23,24,9792,42888
2012-12-24,23,4002,21160
2012-12-25,23,10120,23299
2012-12-26,24,216,10584
2012-12-27,24,5928,50736
2012-12-28,24,15456,74280
2012-12-29,24,3816,32184
2012-12-30,24,8736,43104
2012-12-31,24,10536,65496
